folder_name,dynamic_height,mad_184,p_value_184,mad_110,p_value_110
251019_090318,6000,0.07756250393949309,7.920478467417131e-30,0.016454632690817112,0.5329871960239752
251019_090522,1640,0.0942155565191153,3.5482362667731345e-41,0.05441435579134493,5.664099750175763e-16
251019_090821,1560,0.04143777874133751,1.3338037213546576e-07,0.024830121759779382,0.022163852653447273
251019_091151,6200,0.1331044454080042,1.2054675175593039e-83,0.03472740933452688,0.0002209741113644467
251019_091518,1960,0.11551185281541157,1.6758677569276651e-62,0.02269037229748984,0.05301250540707272
251019_091841,6720,0.10903037133393009,9.17419967539999e-56,0.019308274103183018,0.22034523078212576
251019_092159,2800,0.1284748157783745,1.0422664721843397e-77,0.01991583438214721,0.23735266616000283
251019_092502,2640,0.03961315506357457,2.843458257692773e-06,0.020883916043702065,0.18557215120183568
251019_092712,3000,0.02269361215992498,0.05185570937303498,0.047023802333417124,1.8282602631148315e-09
251019_093030,5080,0.060882223185781945,1.556308444569662e-16,0.10717851948207825,1.737562831933515e-81
251019_093348,3520,0.097919260222819,3.005627789547256e-44,0.028235553628436088,0.00108637180126729
251019_093656,2520,0.15440074170430046,9.344258601978076e-114,0.030084165617852803,0.0028096306059488367
251019_094002,6280,0.12199333429689307,1.5632310717393782e-69,0.03682500306118749,5.4032935260899034e-05
251019_094308,2920,0.050772901635184914,9.30519091868036e-12,0.027500254391949402,0.023663579307790155
251019_094615,5440,0.11828963059318938,6.711627042308372e-66,0.038420738813621264,5.741207150085904e-06
251019_094922,5000,0.1377340750376338,2.5847133259068696e-90,0.027323241789554604,0.003544958889903764
251019_095229,5040,0.15440074170430046,9.389136859210287e-114,0.02915499982949172,0.001860648624672984
251019_095535,4400,0.11366000096355972,2.9352048667324235e-60,0.012567436659848327,0.8084764321507251
251019_095842,3000,0.01989898043266761,0.21211650416900088,0.03124935369371719,0.0007085408030007691
251019_100150,5400,0.097919260222819,9.920082834389633e-44,0.04977111207467085,8.482339419176062e-11
251019_100457,1600,0.1469933342968931,9.440746991422192e-103,0.02823555362843608,0.002637067877650575
251019_100804,3160,0.01716659825295391,0.3769493188067716,0.018063982530295355,0.2513409597474681
251019_101110,4280,0.0942155565191153,6.567148450392259e-41,0.02941435579134493,0.002146019267586121
251019_101416,3240,0.13217851948207826,1.0042892620481025e-82,0.01459954097653012,0.7363597887121474
251019_101721,3160,0.1340303713339301,8.72342656325067e-85,0.01342787317579544,0.6815677638640089
251019_102027,3640,0.147919260222819,3.473544427336818e-104,0.0625084269747398,1.6918501755522187e-16
251019_102338,3520,0.12384518614874492,4.868837135063448e-72,0.040286204752517575,8.227800205142736e-06
251019_102646,5080,0.12199333429689305,1.1780921197633258e-69,0.04953184992473238,1.036399107112958e-09
251019_102952,2960,0.12569703800059676,2.216318104363457e-74,0.026307838141996095,0.012943142321311232
251019_103245,5640,0.1442155565191153,8.888375565834221e-99,0.04767999807288053,6.641058732965976e-09
251019_103535,1040,0.12569703800059678,2.67287991848726e-74,0.019642864333249542,0.16294424796746332
251019_103845,4480,0.11828963059318937,2.4354718957308863e-65,0.019721967830272826,0.362630620700668
251019_104150,2400,0.14236370466726345,2.9800369845710764e-96,0.03774768912467827,1.7054332348553954e-06
251019_104459,4320,0.13588222318578194,3.5051848388643738e-87,0.034973151209335626,0.0003486837424016432
251019_104820,5640,0.14606740837096716,2.287415443146747e-101,0.023872414322833834,0.05728326452660612
251019_105124,6560,0.15069703800059678,3.244925956419762e-108,0.03286194339563056,0.0001781353301870669
251019_105432,3680,0.09514148244504123,1.3506950389803817e-41,0.018688396758739137,0.22056270979347317
251019_105740,3680,0.019291420153703425,0.23500530730932764,0.036641510733922404,0.00015035522516991526
