t0,x0,Th,Xw,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30
775,243,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1546,53,256,256,1.0,61.50314465408797,52.55172413793097,52.509433962264126,44.8669950738916,69.54545454545439,59.499999999999865,69.54545454545439,28.10031347962385,69.54545454545439,28.10031347962385,32.88679245283022,28.10031347962385,30.02515723270444,25.655172413793135,30.867768595041348,32.537037037037045,30.867768595041348,34.62068965517243,30.867768595041348,20.275862068965512,23.729559748427665,20.275862068965512,22.155660377358487,18.93103448275862,26.59374999999998,22.72857142857141,26.59374999999998,15.529411764705895,26.59374999999998
487,147,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1061,123,256,256,1.0,1.0,1.0,1.0,195.99999999999997,173.53086419753092,133.24691358024697,173.53086419753092,173.53086419753092,173.53086419753092,78.92397660818717,1.0,78.92397660818717,88.94117647058825,88.94117647058825,2.0385338345864663,60.60233918128658,2.0385338345864663,78.92397660818717,78.92397660818717,49.563218390804565,1.0,49.563218390804565,1.0,1.0,1.0873786407766988,1.0,1.0,1.0,1.0873786407766988
175,365,256,256,3.761061946902657,1.6610169491525422,1.414159292035398,0.707133917396746,0.7636363636363637,0.7811447811447819,0.6162927981109805,1.293619424054207,1.111333143020268,1.157384987893462,1.1983521513579485,1.0478997789240971,1.0,0.552178318135765,0.6075471698113204,0.6705733291099149,0.5544733044733047,1.0401978973407555,1.111333143020268,1.157384987893462,1.0719026548672563,0.8100526008182346,0.8525073746312681,0.7579787234042552,0.7636363636363637,1.042071197411003,1.042071197411003,1.0,1.075108329321137,1.0
23,274,256,256,166.3770491803275,249.96226415094432,120.91130820399125,3.452830188679245,49.02707930367502,38.77239709443097,36.492063492063515,33.61582323592301,42.28070175438598,31.33333333333333,33.61582323592301,40.245283018867916,31.205391527599478,2.716981132075474,40.7872340425532,40.88135593220342,22.489795918367363,43.85974499089255,1.6999999999999995,36.06060606060604,14.40846994535519,21.4811320754717,2.025321710253216,1.8760107816711602,1.5721830985915493,2.1904761904761894,17.274217585692988,2.3999999999999986,3.313463216051175,1.9911602209944752
107,65,256,256,40.448275862068876,59.499999999999865,35.728132387706815,51.79069767441848,43.042553191489276,55.9354838709676,29.571428571428548,75.83193277310953,34.63636363636358,20.819927971188466,9.517241379310352,14.000000000000009,9.130238555770468,7.785529715762271,9.605200945626473,7.8681917211328996,6.043988269794719,7.283162595219337,6.51724137931034,7.283162595219337,4.78005591798695,5.896103896103897,4.641843971631206,4.349236641221373,4.641843971631206,26.837500000000016,14.322834645669287,5.042016806722688,18.872440944881912,4.714285714285715
195,471,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1349,69,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,494,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
