t0,x0,Th,Xw,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30
1753,243,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3498,53,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1103,147,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2401,123,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
397,365,256,256,1.0,1.0,1.0,1.0,1.0,37.865671641791174,1.0,16.000000000000053,14.9484978540773,18.902973395931213,14.213751868460445,34.08243727598578,30.01287553648078,17.568627450980454,20.73214285714292,18.786069651741357,6.50847457627121,9.03571428571428,7.416309012875559,11.253521126760539,8.461883408071733,20.290322580645114,14.9484978540773,9.921568627450975,10.285714285714318,10.857142857142847,3.7464788732394347,5.952380952380956,4.142180094786726,6.888971132494449
53,274,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
244,65,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
442,471,256,256,1.0,1.0,1.0,1.0,1.0,1.0,3.0233463035019454,1.0,1.0,1.0,2.007751937984496,1.0,2.007751937984496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49568965517241054,1.0,1.0,1.0
3052,69,256,256,36.35087719298259,11.441767068273121,1.0,1.0,1.0,7.527196652719696,13.037037037037079,6.241935483870982,12.02339181286554,9.024691358024722,8.98245614035091,3.7844712182061677,4.503546099290774,5.6987951807229065,6.210970464135045,2.450488145048817,5.681069958847737,3.096774193548394,5.07268170426065,4.477366255144048,4.421052631578948,1.87014725568942,2.1985815602836905,2.8273092369477983,3.0569620253164564,1.8666666666666671,3.192893401015227,1.6964285714285683,2.9217391304347866,2.4181818181818167
232,494,256,256,1.0,1.0,1.0,1.0,1.0,34.6097560975611,27.000000000000107,62.65714285714306,40.28888888888902,28.555555555555657,27.000000000000107,43.00000000000015,14.9484978540773,39.54271356783935,18.753303964757777,17.170731707317138,13.395348837209355,31.085714285714385,20.06666666666673,14.111111111111093,13.395348837209355,21.33333333333341,7.416309012875559,19.61809045226138,9.303964757709284,12.130810810810795,9.443298969072147,22.030379746835404,11.758620689655213,9.309659090909095
2613,165,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2896,460,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
156,295,256,256,1.0,1.0,1.0,1.5058365758754864,1.0,0.4980694980694981,0.4980694980694981,1.0,1.0,1.0,0.7470817120622568,0.7470817120622568,0.7470817120622568,0.7470817120622568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
296,158,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1565,362,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3168,370,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
