t0,x0,Th,Xw,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30
1831,243,256,256,159.26086956521794,2.4181818181818184,2.3140161725067383,2.118279569892473,4.093511805168247,1.3788924681699646,54.417190775681526,1.4678936605316975,1.8693941778127456,1.3835403726708073,1.9228039041703635,1.5937637241985074,2.540880503144654,15.334310850439898,4.396002374826835,1.8671621879169047,2.072275492318795,1.269051666789859,2.233062330623306,0.9525027402265251,15.372670807453426,1.0692640692640696,1.5668763102725365,1.3240469208211143,1.4407491120439138,1.5578358208955223,1.4945652173913042,14.795918367346951,2.555658627087199,1.4348591549295768
3655,53,256,256,186.96026490066285,2.7333333333333334,2.2244062244062244,2.0708812260536393,2.5476190476190474,1.9746251441753175,8.57993730407523,1.8785388127853886,1.6060606060606057,1.6651262584584918,1.7476472638550016,1.6500000000000004,1.7027027027027029,10.059891107078045,3.8464052287581696,1.6022999917266483,1.817110432125709,1.3851851851851857,1.3926306251887643,1.4258487194758789,6.4966887417218535,1.3391304347826092,1.117117117117117,1.1162196679438061,1.861640430820215,1.3391304347826087,1.1920709184929816,6.8228268082282675,1.5073420715482408,1.4268125854993154
1153,147,256,256,1.0,2.3424657534246576,2.1527093596059106,2.0416666666666665,2.5328142380422687,1.7476472638550016,8.679324894514775,1.7202216066481995,1.6075745366639813,1.47695482687457,1.8552631578947363,1.9260273972602742,1.2689655172413794,5.75308641975309,2.3793103448275863,1.318168730204434,1.4525316455696207,1.2340720221606645,1.2292147022921474,1.47695482687457,4.567669172932331,1.5261519302615192,1.0987029421069285,1.1578947368421053,1.5238279736536227,1.4096185737976785,0.9486166007905136,4.986666666666668,1.5999999999999996,1.405805038335159
2508,123,256,256,139.46153846153894,2.3992490613266577,3.9108159392789363,2.0327706057596817,4.128205128205126,1.2336903602726383,11.781499202551846,1.1924642830705454,1.8854489164086685,1.8535959782497178,1.649038461538461,1.973262032085561,3.1907790143084243,10.756335282651085,4.846153846153847,1.7196029776674933,2.9493177387914224,1.469556243550052,3.1907790143084243,1.1501696628402283,16.961538461538456,1.0,1.9285714285714284,1.5614035087719298,1.6837606837606833,1.436974789915966,3.466793168880456,10.7326203208556,3.5324675324675328,1.8529411764705883
415,365,256,256,90.21568627451012,2.4387104535065562,2.498305084745764,1.3906543460295993,2.3898999090081894,1.4333333333333336,4.214979685567919,1.4813700532284193,1.672339005672339,1.4054054054054057,1.6931544547643622,1.3885480572597135,1.4333333333333336,3.529259765921873,1.503104087720713,1.4582375478927203,2.0556545850663497,0.9691156381778228,1.3589072943911658,0.9844534800287013,3.6299408652349836,1.050907192272549,0.9103448275862073,0.8286373372878562,1.0,1.1130434782608698,0.6595744680851064,3.134328358208956,1.5787495053423037,0.8131612216381664
56,274,256,256,93.11920529801355,2.1286899479066186,1.6171222786053367,1.408988764044944,1.6190476190476193,1.1530612244897958,4.810655575361458,1.2292147022921474,1.1003021925030536,0.7179752066115701,0.9390494051456365,1.1331626120358516,1.0158633312995728,3.4115942028985504,1.8278829604130813,1.0818846056941296,1.1189542483660133,0.7229832572298327,0.7444122516556287,0.8936915887850466,2.819317755841558,1.0642451198418585,0.7449664429530203,0.7447028423772611,0.925714285714286,0.8710743801652892,0.6068821689259646,1.8538257408226453,0.8857581252615427,0.9150573544358939
255,65,256,256,56.20169851380063,2.1633714880332984,1.9904761904761903,1.1406640968418205,1.5454692164931816,0.9097692174214819,3.338414634146341,0.9105145413870249,1.0,1.0,0.9233309742863887,0.867572156196944,1.1925925925925929,2.423247146517586,1.1751903510545112,0.8956541680999885,0.9080188679245282,0.9247859291830598,1.0977443609022557,1.0,2.051460924072389,0.7781924820047987,1.0,1.0,0.9241363211951447,0.7581551579355339,1.0,1.9260515603799186,0.8284,1.0
462,471,256,256,251.1515151515161,2.6296121097445595,2.2143364808610015,2.291732909379968,2.1218141681717837,1.376157407407407,6.8441890166028125,1.8745684695051776,1.465845464725644,1.3888888888888884,2.1049519586104957,1.2537469501568486,1.2101434633259247,6.496323529411763,1.9593188268684947,1.288888888888889,0.9845422116527944,1.3525046382189236,1.372519521455692,1.0,4.282828282828283,1.1549668874172185,1.0649066966236038,0.9696545284780576,0.9689755981146706,1.0,1.1696198453608246,2.7420186113099496,1.2781929347826082,1.1681571382944744
3188,69,256,256,35.10389610389602,2.6678770273541508,2.735335643691438,2.0649350649350646,2.8512658227848107,1.5379013571665012,11.161725067385436,1.5487012987012985,1.5487012987012985,1.4853896103896105,1.6060606060606057,1.898225957049486,1.8671621879169047,10.496753246753245,2.3517179023508143,1.5379013571665012,1.7241689128481574,1.1012987012987014,1.5487012987012985,0.9839108910891089,7.446280991735533,1.2146542827657378,1.4037580557496698,1.215529151699364,1.376696660057954,1.4677661169415293,1.0,7.055900621118011,1.1529411764705884,0.9649385675756669
242,494,256,256,181.130718954249,2.1033950617283943,2.336211326960634,1.817110432125709,1.7568493150684932,1.2251532107647218,6.7382039573820425,1.8505747126436778,1.3963990126324963,1.100951271597748,1.2770673486786022,1.2278856526429338,1.5673758865248233,6.08045977011494,2.204673650282031,1.438995742181765,1.1712328767123286,1.1162196679438061,1.047764849969382,0.9241363211951447,3.6299408652349836,1.1518691588785044,0.7577263550240722,0.9845422116527944,1.2698215026982151,1.0172949002217295,1.259911141490089,3.9856459330143545,1.1914893617021274,1.0548952142633718
