t0,x0,Th,Xw,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30
442,243,256,256,1.0,34.08243727598578,123.61363636363677,10.803719008264471,11.931818181818187,9.2962962962963,5.142247510668566,6.6009070294784555,10.135135135135142,1.5600907029478455,1.5177220230983668,1.5177220230983668,1.524193548387096,1.5909090909090908,1.524193548387096,1.592592592592592,1.5110565110565106,1.5394750492789713,1.5110565110565106,1.5190771960958294,1.803019903912148,1.803019903912148,2.1079545454545445,2.1079545454545445,2.1079545454545445,1.8421052631578958,1.9741602067183461,2.2530120481927707,2.1555555555555563,2.1203830369357033
883,53,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
278,147,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
606,123,256,256,1.0,1.0,26.031055900621084,35.728132387706815,30.558498896247194,26.585106382978726,22.738410596026483,22.738410596026483,22.738410596026483,35.728132387706815,11.00827814569536,14.829787234042549,10.80479148181011,16.03546099290779,13.715231788079453,13.784869976359337,11.790286975717432,11.790286975717432,11.790286975717432,19.104448742746637,7.438237834725017,9.605200945626473,7.378881987577645,6.722670579603813,8.215389467045089,9.153310104529615,7.837662337662335,5.254545454545455,5.254545454545455,7.896341463414637
100,365,256,256,1.0,1.0,37.993288590603946,48.699248120300645,44.39568345323731,42.33333333333328,36.28571428571424,36.28571428571424,30.97959183673468,50.999999999999886,16.285714285714274,22.636363636363658,16.863331299572927,23.87218045112784,19.70503597122304,22.636363636363658,19.402597402597422,19.402597402597422,17.71428571428574,31.499999999999996,10.872180451127827,15.249999999999998,8.939597315436249,9.389724310776941,10.446043165467634,9.210526315789476,7.896341463414637,7.896341463414637,7.544390243902443,11.911357340720214
13,274,256,256,1.0,1.0,1.0,1.0,1.0,259.0000000000009,222.0000000000008,259.0000000000009,37.993288590603946,48.699248120300645,21.76258992805757,27.000000000000014,23.14814814814816,23.14814814814816,17.59259259259257,25.000000000000018,15.061224489795913,25.000000000000018,2.3790863823338384,23.87218045112784,3.1002145651899533,3.1745454545454543,3.1544256120527305,2.721661054994388,11.111111111111116,17.894736842105253,2.8023106546854937,3.2686980609418272,2.62086513994911,16.711864406779654
61,65,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,471,256,256,301.000000000001,146.91044776119372,104.11300639658845,13.823129251700664,13.05684367988032,135.1935483870966,85.50000000000001,10.330143540669841,77.7,11.35772357723576,48.22222222222228,59.532338308457796,50.61620469083154,6.7482993197279,6.347793567688851,6.471380471380481,41.392857142857146,5.0430622009569435,43.34285714285712,5.54471544715448,31.37037037037038,38.728026533996704,32.783937455579235,4.390022675736964,4.1114435302916945,4.486033519553074,28.138248847926263,3.4761904761904763,4.814371257485033,3.8670270270270284
770,69,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,494,256,256,53.812499999999986,1.0,376.2830188679258,33.62745098039215,33.95454545454548,50.08004778972522,40.88290398126461,52.509433962264126,52.509433962264126,53.812499999999986,24.419117647058826,26.05208333333333,20.766925638179803,29.42906574394464,17.07142857142856,18.503506311360443,19.875878220140503,22.155660377358487,22.155660377358487,26.05208333333333,17.60326086956521,17.60326086956521,14.97046759639048,18.529411764705888,11.08064516129032,15.399999999999991,12.92075471698113,14.416149068322985,14.416149068322985,17.00530222693532
659,165,256,256,1.0,34.54838709677412,45.788321167883105,12.954022988505743,50.999999999999886,28.665024630541858,28.665024630541858,28.665024630541858,47.2222222222221,28.665024630541858,19.13580246913582,14.00000000000002,15.775808133472356,16.39080459770117,22.636363636363658,15.068965517241365,15.068965517241365,15.068965517241365,25.823045267489714,15.068965517241365,12.448559670781895,9.107526881720435,12.0705596107056,10.66283524904215,9.833333333333332,6.459317585301837,6.459317585301837,6.459317585301837,9.97094430992736,6.459317585301837
731,460,256,256,1.0,1.0,29.166666666666657,1.0,255.04580152671844,8.592529711375217,76.91240875912435,33.99999999999993,50.75862068965535,50.75862068965535,23.14814814814816,23.14814814814816,23.14814814814816,50.75862068965535,17.303162486368585,5.193548387096773,18.554744525547466,8.456140350877199,9.517241379310352,9.517241379310352,2.5132275132275117,2.5132275132275117,10.537918871252195,9.02627257799671,9.683206106870228,3.8260869565217392,10.567638103523263,5.4676258992805735,6.240310077519377,6.240310077519377
39,295,256,256,27.000000000000014,1.0,27.000000000000014,41.72727272727262,51.79069767441848,44.39568345323731,55.07999999999987,39.19753086419747,39.19753086419747,33.46560846560844,30.120000000000008,17.59259259259257,27.000000000000014,18.520661157024808,25.38759689922482,17.990407673860936,27.000000000000014,23.14814814814816,23.14814814814816,19.13580246913582,16.469999999999995,10.01683501683501,17.639999999999993,2.4049586776859497,16.586563307493535,3.0601092896174866,10.862809917355372,3.0008845643520567,2.623049219687875,3.0008845643520567
74,158,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
395,362,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
799,370,256,256,16.842293906810013,16.842293906810013,16.52584670231727,9.185185185185198,16.52584670231727,9.349802371541509,14.320197044334943,13.077840552416827,7.239040147669598,75.72789115646255,7.559139784946229,6.067204301075268,7.417112299465233,7.809523809523806,7.417112299465233,6.298913043478259,5.334975369458123,7.659133709981164,6.07614213197969,39.80952380952377,5.046406338426714,4.30400782013685,4.951590205460177,5.058201058201055,4.951590205460177,4.029752066115702,3.4285714285714306,4.0212658227848115,3.9545454545454577,5.44303797468354
547,2,256,256,55.07999999999987,64.30434782608683,64.30434782608683,71.7777777777776,64.30434782608683,49.38888888888882,42.16666666666664,57.72727272727265,42.16666666666664,69.54545454545439,24.447272727272747,31.52173913043481,28.541501976284614,35.185185185185205,31.52173913043481,29.166666666666686,24.11111111111114,34.090909090909115,24.11111111111114,42.954545454545446,2.0750561797752805,20.59420289855072,2.42256961406937,22.987654320987644,20.59420289855072,2.3738317757009346,2.3738317757009346,23.591836734693864,2.8382771231206836,31.085714285714314
699,191,256,256,1.0,47.2222222222221,47.2222222222221,39.19753086419747,69.12000000000023,30.97959183673468,42.33333333333328,31.536912751677814,30.07894736842105,36.85131894484408,27.000000000000014,23.14814814814816,23.14814814814816,16.26984126984126,27.000000000000014,13.071428571428571,25.000000000000018,18.62416107382552,23.87218045112784,21.76258992805757,16.469999999999995,14.120370370370365,10.01683501683501,9.104938271604935,14.520000000000005,7.544390243902443,10.143540669856458,7.576682859125607,7.864406779661014,8.84649776453055
486,27,256,256,17.837349397590366,17.837349397590366,17.837349397590366,10.166666666666668,17.837349397590366,8.78030303030303,14.928571428571418,15.880503144654096,7.407142857142854,21.0,8.094259390503193,5.834992142482975,8.094259390503193,10.888888888888888,8.094259390503193,8.229946524064173,6.7463768115941996,9.079911209766925,6.942857142857142,9.529411764705886,5.322891566265062,5.096385542168677,5.568273092369479,7.21212121212121,5.568273092369479,5.468750000000001,3.555555555555554,3.885919835560123,3.7423935091277887,4.548713235294119
837,110,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
338,32,256,256,11.636363636363647,1.0,45.788321167883105,47.88524590163928,47.88524590163928,29.621848739495825,29.621848739495825,29.621848739495825,51.79069767441848,55.94047619047612,27.04377104377106,14.295454545454538,20.323158593231604,21.491803278688504,21.491803278688504,42.824729891956764,10.225023342670408,10.66386554621849,15.486434108527128,10.94897959183674,3.6143250688705235,8.494897959183676,4.660062565172055,5.404371584699451,5.404371584699451,5.78327526132404,5.616326530612244,5.16,4.812030075187969,5.992578849721706
554,12,256,256,1.0,1.0,1.0,55.07999999999987,64.30434782608683,58.586776859504,47.76020408163263,49.38888888888882,49.38888888888882,42.16666666666664,30.867768595041348,22.166666666666643,42.954545454545446,27.000000000000014,31.52173913043481,28.71900826446283,33.035714285714306,29.166666666666686,29.166666666666686,24.11111111111114,23.96103896103895,15.68518518518519,28.181818181818215,2.0750561797752805,20.59420289855072,2.8382771231206836,24.789999999999978,2.8382771231206836,2.3738317757009346,2.8382771231206836
159,30,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
267,408,256,256,1.0,1.0,1.0,1.0,1.0,1237.4444444444487,1.0,1237.4444444444487,93.18181818181824,119.44444444444453,1237.4444444444487,1.0,1.0,1.0,1.0,57.33333333333337,1.0,60.60233918128658,44.727272727272755,57.33333333333337,36.62962962962962,1.6672012830793903,36.62962962962962,38.05747126436779,36.62962962962962,1.3939393939393936,32.19999999999999,1.454545454545454,32.19999999999999,1.3939393939393936
667,132,256,256,50.22137404580141,59.499999999999865,58.586776859504,67.39285714285698,59.499999999999865,45.719999999999935,39.03428571428569,53.376811594202834,39.03428571428569,64.30434782608683,22.290770298403906,29.166666666666686,26.00375657400453,33.035714285714306,29.166666666666686,27.000000000000014,22.320000000000025,35.164251207729485,22.320000000000025,39.71739130434783,2.2561600154604307,19.05555555555555,2.631969871325452,21.583333333333325,19.05555555555555,20.499999999999986,2.649823736780259,26.23529411764703,3.142667257421357,28.98823529411768
