t0,x0,Th,Xw,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30
1264,243,256,256,65.99999999999996,1.0,1.0,1.0,1.0,1.0,84.1800766283524,36.49645390070926,93.55144032921798,45.04205607476635,65.99999999999996,18.76308539944903,85.65116279069757,34.11827956989244,98.77777777777764,42.70833333333336,41.095785440613085,25.24280350438048,141.43209876543258,32.36788445199664,77.30434782608685,10.798347107438017,41.81395348837215,22.777023203169225,48.22222222222228,28.06122448979591,26.53715170278639,18.45266781411359,66.18571428571431,21.74468085106383
2522,53,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.1181102362205015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6812227074235897,1.0
795,147,256,256,1.0,1.0,1.0,1611.555555555561,1.0,75.00000000000006,1.0,75.00000000000006,1.0,1237.4444444444487,1.0,77.03030303030312,118.2222222222221,109.33333333333327,157.42857142857125,34.142857142857125,1.0,36.00000000000003,1.0,409.2962962962977,195.99999999999997,35.03636363636364,56.00000000000001,195.99999999999997,187.5584415584417,61.66666666666661,202.32432432432418,61.66666666666661,1.0,208.99999999999983
1731,123,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.007751937984496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
286,365,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4571428571428566,1.7272727272727275,1.4571428571428566,2.5249266862170088,2.5249266862170088,2.9561128526645764,2.5249266862170088,2.9561128526645764,1.670967741935484,1.670967741935484,1.1980952380952377,1.4202020202020205,1.4874999999999994,2.0745967741935485,2.0745967741935485,2.3312434691745034,1.991202346041056,2.3312434691745034,2.3866666666666663,2.3866666666666663,1.7229946524064164,2.034090909090908,1.9987995198079225
38,274,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.007751937984496,1.0,1.0,1.0,2.007751937984496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,65,256,256,7.8979591836735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.244897959183693,4.046875,3.9183673469387905,1.0,1.0,1.0,3.096774193548394,1.0,1.0,1.0,1.7074829931972801,1.0,1.7074829931972801,1.0,1.0,1.0,1.3494623655913967,1.0,1.0,1.0,3.7982062780269246,1.0
319,471,256,256,145.91803278688576,261.00000000000097,220.37500000000074,1.0,220.37500000000074,20.785495403472922,18.508417508417498,44.166023166023145,29.431372549019585,34.222222222222214,7.780923994038748,19.8953488372093,16.798611111111107,21.933333333333334,12.171874999999996,13.216547497446374,8.686622320768663,22.621621621621628,14.560784313725494,19.695238095238096,4.315118397085609,12.589147286821712,7.947463768115939,2.50375939849624,8.867063492063492,2.56764705882353,2.554347826086957,2.2810949529512397,7.265641569459172,10.722991689750694
2201,69,256,256,1.0,1.0,1.0,1.0,1.0,61.74404761904758,95.41734417344209,79.96296296296286,35.30555555555559,93.55144032921798,38.670454545454575,41.095785440613085,33.553191489361666,112.70370370370345,29.55140186915892,87.1249999999998,12.049519586104948,47.22222222222226,26.05208333333333,55.24691358024695,27.902777777777764,26.73435504469989,19.104448742746605,61.63100137174214,21.806074766355138,40.751807228915695,9.587155963302758,33.99999999999999,21.42857142857144,39.828571428571415
167,494,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.393939393939405,16.935483870967754,6.9090909090909145,1.0,2.3793103448275863,1.0,1.0,1.0,1.6328600405679519,2.3793103448275863,1.1853832442067742,1.3946869070208734,1.0,2.824561403508772,2.824561403508772,3.45117845117845,2.9561128526645764,3.45117845117845,4.421052631578949,4.421052631578949,3.223684210526316,3.7824561403508787,1.0
