t0,x0,Th,Xw,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30
2497,243,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.007751937984496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4980694980694981,0.4980694980694981,0.4980694980694981,1.0,1.0,1.0,0.3304721030042919,1.0,1.0
4982,53,256,256,1.0,1.0,1.0,1.0,1.0,1.0,3.0233463035019454,1.0,1.0,1.0,2.007751937984496,2.007751937984496,2.007751937984496,1.0,1.0,3.0233463035019454,1.5058365758754864,1.0,1.0,1.0,0.6640826873385013,1.0,1.0,1.0,1.0,2.0086206896551726,0.49568965517241054,1.0,1.0,1.0
1571,147,256,256,1.0,1.0,1.0,1.0,1.0,20.41908713692952,20.41908713692952,20.41908713692952,1.0,20.41908713692952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3419,123,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
566,365,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,274,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184.02631578947364,255.14414414414384,247.31578947368385,1.0,211.15037593984948,339.74285714285696,296.09999999999997,1.0,1.0,1.0,753.6315789473709,150.6756756756758,753.6315789473709,1.0,500.473684210528,805.2666666666695,805.2666666666695,1.0,1.0,1.0,1.0,1.0,258.39999999999986
347,65,256,256,1.0,4.046875,1.0,1.0,1.0,2.529411764705897,5.078431372549049,5.078431372549049,1.0,5.078431372549049,4.046875,2.015625,1.0,1.0,1.0,1.254901960784321,2.529411764705897,2.529411764705897,1.0,2.529411764705897,2.015625,1.0,1.0,1.0,1.0,0.49350649350649134,1.0,1.0,1.0,1.5064935064935063
630,471,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.41908713692952,10.36000000000003,10.36000000000003,1.0,8.222222222222252,1.0,19.264462809917415,1.0,1.0,1.0,10.17012448132783,5.160000000000014,5.160000000000014,1.0,4.09523809523811,1.0,9.59504132231408,1.0,1.0,1.0,9.087557603686664,4.640000000000013
4346,69,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
331,494,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3721,165,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4125,460,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
222,295,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
422,158,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2229,362,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4512,370,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3090,2,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3945,191,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2745,27,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4722,110,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8863636363636367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1907,32,256,256,5.078431372549049,1.0,1.0,1.0,1.0,7.166007905138368,7.166007905138368,1.0,7.166007905138368,5.078431372549049,2.529411764705897,1.0,0.4980694980694981,1.0,2.529411764705897,3.569169960474323,3.569169960474323,1.0,3.569169960474323,2.529411764705897,1.254901960784321,1.0,0.2471042471042471,1.0,1.254901960784321,1.6812227074235897,1.6812227074235897,1.0,1.6812227074235897,1.3391304347826176
3125,12,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
901,30,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1509,408,256,256,5.6987951807229065,7.166007905138368,7.166007905138368,1.0,1.0,1.0,5.6987951807229065,11.441767068273121,11.441767068273121,1.0,11.441767068273121,7.166007905138368,3.569169960474323,1.0,1.5058365758754864,1.0,2.8273092369477983,5.6987951807229065,5.6987951807229065,1.0,5.6987951807229065,3.569169960474323,1.7707509881422996,1.0,0.7470817120622568,1.0,1.5199999999999978,3.0800000000000094,3.0800000000000094,1.0
