t0,x0,Th,Xw,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30
775,243,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1546,53,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
487,147,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1061,123,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,365,256,256,1.0,1.0,1.0,1.0,1.0,7.8979591836735,9.286852589641462,9.286852589641462,9.286852589641462,4.625498007968142,1.0,1.0,1.0,4.625498007968142,2.015625,3.9183673469387905,4.625498007968142,4.625498007968142,4.625498007968142,2.2948207171314814,2.529411764705897,0.830065359477125,1.254901960784321,2.2948207171314814,1.0,2.054054054054054,2.374449339207058,2.374449339207058,2.374449339207058,1.1718061674008804
23,274,256,256,1.0,1.0,1.0,1.0,1.0,59.49999999999999,213.2448979591844,185.9593495934966,42.70833333333336,42.7575757575758,68.26984126984124,68.26984126984124,59.49999999999999,60.53929539295396,60.53929539295396,79.96296296296286,22.224489795918377,21.34552845528455,17.60326086956521,17.755555555555556,33.190476190476176,33.190476190476176,28.805555555555554,29.184281842818443,29.184281842818443,24.00000000000002,16.891978609625667,22.576623376623377,24.33035714285715,27.250000000000014
107,65,256,256,1.0,1.0,1216.0000000000043,1216.0000000000043,1216.0000000000043,378.0,378.0,1322.6666666666713,1322.6666666666713,1322.6666666666713,1322.6666666666713,1784.888888888895,475.0000000000003,475.0000000000003,529.888888888889,271.6363636363639,271.6363636363639,746.9523809523805,576.3703703703706,576.3703703703706,576.3703703703706,777.7901234567904,310.3333333333332,310.3333333333332,310.3333333333332,314.4999999999998,314.4999999999998,0.6578947368421062,0.44736842105263175,0.44736842105263175
195,471,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1349,69,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,494,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
